,type,title,date,distance,time,easy,tempo,interval,long,recovery,run_category
0,running,easy run after sick,2018-10-12 21:10:12,5.04,34:49:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
1,running,lat phrao run,2018-10-09 23:21:25,5.09,31:26:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
2,running,lat phrao run,2018-10-07 22:21:38,11.01,1:08:30,FALSE,FALSE,FALSE,FALSE,FALSE,run
3,treadmill_running,treadmill,2018-10-06 21:24:32,2.4,30:38:00,FALSE,FALSE,FALSE,FALSE,FALSE,
4,treadmill_running,treadmill,2018-10-05 21:01:16,5.07,32:19:00,FALSE,FALSE,FALSE,FALSE,FALSE,
5,treadmill_running,treadmill,2018-10-04 20:51:56,3.13,30:26:00,FALSE,FALSE,FALSE,FALSE,FALSE,
6,running,lat phrao run,2018-10-03 20:25:54,7.85,43:03:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
7,running,easy run,2018-10-02 20:05:12,5.04,32:14:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
8,running,chatuchak run,2018-09-30 16:08:15,4.76,29:16:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
9,running,1600x2 800x2 run,2018-09-26 20:50:53,6.8,37:35:00,FALSE,FALSE,FALSE,FALSE,FALSE,interval
10,running,lat phrao run,2018-09-25 20:38:42,5.2,32:03:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
11,indoor_cycling,bike indoor,2018-09-24 16:10:28,25.54,1:01:36,FALSE,FALSE,FALSE,TRUE,FALSE,long
12,running,tempo run,2018-09-21 17:47:33,7.31,41:09:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
13,running,interval 6 x 400m,2018-09-19 20:31:51,6.93,45:24:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
14,running,interval 400x7,2018-09-18 20:40:48,7.48,44:50:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
15,running,easy long run,2018-09-16 17:16:38,12.06,1:23:32,TRUE,FALSE,FALSE,TRUE,FALSE,long
16,running,lthr test,2018-09-14 20:37:24,5.04,31:48:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
17,indoor_cycling,bike indoor,2018-09-14 0:10:00,13.51,30:50:00,FALSE,FALSE,FALSE,FALSE,FALSE,
18,running,recovery run,2018-09-11 18:13:33,4.01,32:37:00,FALSE,FALSE,FALSE,FALSE,TRUE,recovery
19,running,cuca run 2018,2018-09-09 5:00:03,10.05,48:06:00,FALSE,FALSE,FALSE,FALSE,FALSE,race
20,running,easy run with test pace,2018-09-07 21:44:56,5.37,31:07:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
21,running,interval 400x6,2018-09-05 20:19:02,6.85,38:43:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
22,indoor_cycling,bike indoor,2018-09-04 22:25:00,20.05,40:29:00,FALSE,FALSE,FALSE,TRUE,FALSE,long
23,running,long run (taper),2018-09-02 17:21:32,12.51,1:21:39,FALSE,FALSE,FALSE,TRUE,FALSE,long
24,running,easy tempo,2018-08-31 20:20:33,8.1,45:21:00,TRUE,TRUE,FALSE,FALSE,FALSE,tempo
25,running,lat phrao run,2018-08-29 20:07:49,9.06,52:17:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
26,running,lat phrao run,2018-08-28 19:40:35,5.04,29:20:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
27,running,long run,2018-08-26 18:03:48,18.19,2:00:28,FALSE,FALSE,FALSE,TRUE,FALSE,long
28,indoor_cycling,bike / replace tempo run 8k,2018-08-24 23:31:21,53.3,1:05:17,FALSE,TRUE,FALSE,TRUE,FALSE,tempo
29,running,interval 1.6k x3 run,2018-08-22 22:51:28,8.02,47:11:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
30,running,easy run / bad data,2018-08-21 19:42:43,5.21,33:20:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
31,running,long run,2018-08-19 15:40:25,25.04,2:41:38,FALSE,FALSE,FALSE,TRUE,FALSE,long
32,running,tempo8k  run,2018-08-17 21:25:19,11.09,1:01:55,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
33,indoor_cycling,bike indoor,2018-08-15 21:11:21,30.04,46:09:00,FALSE,FALSE,FALSE,TRUE,FALSE,long
34,running,easy run,2018-08-14 17:22:29,5.02,30:58:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
35,running,long run 16k,2018-08-12 20:50:40,16.01,1:52:56,FALSE,FALSE,FALSE,TRUE,FALSE,long
36,running,easy-10k,2018-08-10 6:17:46,10.04,1:01:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
37,running,lat phrao run,2018-08-09 22:47:40,10.04,1:01:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
38,running,lat phrao run,2018-08-08 18:52:05,8.12,45:44:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
39,running,easy run,2018-08-07 19:33:54,5.07,35:20:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
40,running,long run,2018-08-05 17:19:45,21.14,2:20:45,FALSE,FALSE,FALSE,TRUE,FALSE,long
41,running,lat phrao run,2018-08-03 21:21:56,11.07,1:02:20,FALSE,FALSE,FALSE,FALSE,FALSE,run
42,running,lat phrao run,2018-08-01 18:45:10,6.09,34:52:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
43,running,lat phrao run,2018-07-31 18:36:32,5.04,31:16:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
44,running,long run,2018-07-29 16:40:37,16.07,1:57:27,FALSE,FALSE,FALSE,TRUE,FALSE,long
45,running,bad tempo run,2018-07-27 11:16:48,10.02,54:34:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
46,running,interval 800m x6 rest 1:30min.,2018-07-25 16:48:38,8.93,50:13:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
47,running,lat phrao run,2018-07-24 17:28:11,5.18,38:46:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
48,running,nakhon nayok long run,2018-07-22 5:55:20,21.02,2:25:02,FALSE,FALSE,FALSE,TRUE,FALSE,long
49,running,lat phrao run,2018-07-20 16:58:44,11.04,1:02:04,FALSE,FALSE,FALSE,FALSE,FALSE,run
50,treadmill_running,treadmill,2018-07-18 18:35:03,9.47,56:25:00,FALSE,FALSE,FALSE,FALSE,FALSE,
51,running,long run,2018-07-15 20:23:29,12.56,1:16:37,FALSE,FALSE,FALSE,TRUE,FALSE,long
52,running,lat phrao run,2018-07-13 18:01:52,10.62,1:00:09,FALSE,FALSE,FALSE,FALSE,FALSE,run
53,running,interval 8x300m  rest 3min,2018-07-11 18:24:59,5.89,46:13:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
54,running,easy run,2018-07-10 16:18:36,5.05,30:21:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
55,running,long run,2018-07-08 17:06:52,18.06,1:57:32,FALSE,FALSE,FALSE,TRUE,FALSE,long
56,running,tempo 8k  run,2018-07-06 16:55:48,11.02,1:00:19,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
57,running,fartlek run,2018-07-04 19:13:02,6.38,36:47:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
58,running,easy run,2018-07-03 17:04:13,5.12,33:47:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
59,running,long run,2018-07-01 20:46:53,16.06,1:52:30,FALSE,FALSE,FALSE,TRUE,FALSE,long
60,running,tempo 3k x2,2018-06-29 16:56:57,10.52,59:37:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
61,running,interval 300x7,2018-06-27 20:47:00,5.69,44:56:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
62,running,easy run,2018-06-26 20:08:50,5.03,30:56:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
63,running,long run,2018-06-24 5:10:55,18.04,1:50:50,FALSE,FALSE,FALSE,TRUE,FALSE,long
64,running,bad tempo run,2018-06-22 17:40:28,9.16,54:47:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
65,running,interval 400x8,2018-06-20 19:38:20,7.44,44:14:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
66,running,easy run,2018-06-19 18:29:16,5.1,35:19:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
67,running,long run,2018-06-17 17:56:14,14.22,1:33:58,FALSE,FALSE,FALSE,TRUE,FALSE,long
68,running,tempo run,2018-06-15 19:44:04,8.07,47:23:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
69,running,interval 1600x3,2018-06-13 18:42:12,7.53,42:54:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
70,running,easy run,2018-06-12 16:15:02,5.11,33:01:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
71,running,long run,2018-06-10 17:48:30,16.16,1:45:25,FALSE,FALSE,FALSE,TRUE,FALSE,long
72,running,tempo run,2018-06-08 17:40:39,6.01,35:18:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
73,running,interval 800x6 rest 90s,2018-06-06 19:54:59,8.17,47:28:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
74,running,easy run,2018-06-05 16:34:13,5.04,32:09:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
75,running,long run,2018-06-03 17:17:04,14.18,1:29:30,FALSE,FALSE,FALSE,TRUE,FALSE,long
76,running,tempo 8k,2018-06-01 22:54:41,11.02,1:04:08,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
77,running,interval 300x7  rest3min,2018-05-30 20:17:48,5.81,44:24:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
78,running,easy run,2018-05-29 16:59:10,5.21,37:15:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
79,running,long run,2018-05-27 17:50:23,12.67,1:21:53,FALSE,FALSE,FALSE,TRUE,FALSE,long
80,running,tempo run,2018-05-25 16:55:02,6.07,35:23:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
81,running,interval 400x8  rest1:30,2018-05-23 17:39:14,6.96,42:56:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
82,running,lat phrao run,2018-05-22 17:18:23,5.03,33:01:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
83,running,long run,2018-05-20 21:33:33,12.1,1:22:08,FALSE,FALSE,FALSE,TRUE,FALSE,long
84,indoor_cycling,bike indoor,2018-05-19 18:54:48,15.57,30:03:00,FALSE,FALSE,FALSE,TRUE,FALSE,long
85,running,tempo run,2018-05-18 21:38:22,8.04,45:41:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
86,treadmill_running,interval 90s x7 treadmill 3-4%incline,2018-05-17 20:31:12,5.1,44:05:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
87,treadmill_running,treadmill,2018-05-15 19:57:04,5.07,35:52:00,FALSE,FALSE,FALSE,FALSE,FALSE,
88,indoor_cycling,bike indoor,2018-05-14 23:13:06,15.25,33:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,long
89,running,kowloon run,2018-05-11 21:03:12,5.66,34:10:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
90,treadmill_running,4% incline tempo run,2018-05-06 20:55:08,4.13,31:24:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
91,indoor_cycling,bike indoor,2018-05-05 23:02:12,15.09,32:32:00,FALSE,FALSE,FALSE,TRUE,FALSE,long
92,treadmill_running,treadmill,2018-05-04 15:36:30,6.02,42:04:00,FALSE,FALSE,FALSE,FALSE,FALSE,
93,treadmill_running,easy run with pick up pace,2018-04-30 17:02:17,4.03,33:16:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
94,treadmill_running,tempo incline 7% treadmill,2018-04-27 13:16:08,4.26,31:35:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
95,treadmill_running,easy treadmill,2018-04-25 16:05:48,5.03,36:26:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
96,running,interval tempo run,2018-04-23 22:00:59,5.02,27:39:00,FALSE,TRUE,TRUE,FALSE,FALSE,tempo
97,running,easy run,2018-04-22 21:22:08,5,33:35:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
98,indoor_cycling,bike indoor,2018-04-20 20:59:08,15.1,32:09:00,FALSE,FALSE,FALSE,TRUE,FALSE,long
99,running,gs training run,2018-04-19 15:11:05,3.25,17:35,FALSE,FALSE,FALSE,FALSE,FALSE,run
100,indoor_cycling,bike indoor,2018-04-18 20:56:34,15.03,31:40:00,FALSE,FALSE,FALSE,TRUE,FALSE,long
101,treadmill_running,interval 12.3km/h x7  incline5% treadmill,2018-04-17 20:41:47,5.04,40:04:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
102,indoor_cycling,bike indoor,2018-04-15 21:35:59,15.14,37:33:00,FALSE,FALSE,FALSE,TRUE,FALSE,long
103,indoor_cycling,easy bike indoor,2018-04-14 23:37:23,15.06,40:34:00,TRUE,FALSE,FALSE,TRUE,FALSE,long
104,running,bad hot weather easy run,2018-04-13 23:04:52,5.03,31:20:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
105,treadmill_running,interval 90s on 4%incline treadmill,2018-04-08 20:38:34,4.35,40:12:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
106,treadmill_running,easy 1hr 4% incline treadmill,2018-04-07 22:18:31,8.26,1:05:09,TRUE,FALSE,FALSE,FALSE,FALSE,easy
107,treadmill_running,tempo 7% incline treadmill,2018-04-06 19:45:59,4.42,32:20:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
108,treadmill_running,tempo treadmill incline 0%,2018-04-04 20:45:11,5.18,30:36:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
109,treadmill_running,easy treadmill,2018-04-03 15:07:24,3.36,30:37:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
110,treadmill_running,hard tempo 7%incline treadmill,2018-04-01 20:12:31,4.2,31:00:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
111,treadmill_running,easy 7%incline treadmill,2018-03-31 20:58:08,4.36,36:37:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
112,treadmill_running,interval 90sec rest 3min x7 incline5% treadmill,2018-03-28 15:45:15,4.45,32:54:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
113,treadmill_running,tempo 7% incline treadmill,2018-03-26 21:03:05,4.21,30:44:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
114,treadmill_running,tempo treadmill,2018-03-24 20:41:59,5.26,30:52:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
115,treadmill_running,easy 6%incline treadmill,2018-03-22 16:32:10,5.14,41:46:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
116,treadmill_running,4k tempo 7% incline treadmill,2018-03-19 20:34:24,4.23,32:57:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
117,running,easy run,2018-03-16 6:17:37,5.02,35:15:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
118,running,tempo 7% incline 30min,2018-03-15 18:21:00,5.24,39:57:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
119,treadmill_running,easy treadmill,2018-03-11 21:25:03,5.17,39:26:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
120,treadmill_running,treadmill,2018-03-10 22:10:25,5.06,36:02:00,FALSE,FALSE,FALSE,FALSE,FALSE,
121,treadmill_running,easy treadmill,2018-03-09 16:24:35,5.18,37:01:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
122,treadmill_running,interval 400m rest 3min x 7 treadmill,2018-03-08 14:43:33,6.36,47:10:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
123,treadmill_running,treadmill,2018-03-06 13:06:43,5.08,32:16:00,FALSE,FALSE,FALSE,FALSE,FALSE,
124,treadmill_running,easy treadmill,2018-03-05 15:36:47,10.14,1:08:22,TRUE,FALSE,FALSE,FALSE,FALSE,easy
125,running,fartlek run,2018-03-01 20:25:31,5.09,32:57:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
126,running,easy run,2018-02-28 23:39:38,5.1,35:20:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
127,running,run for better city 2018,2018-02-25 5:27:55,10.02,54:29:00,FALSE,FALSE,FALSE,FALSE,FALSE,race
128,running,easy run,2018-02-22 22:54:38,5.1,37:21:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
129,running,easy 10k run,2018-02-20 17:10:23,10.09,1:05:57,TRUE,FALSE,FALSE,FALSE,FALSE,easy
130,running,interval 300 rest 3min x 7,2018-02-18 22:25:14,6.15,39:55:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
131,treadmill_running,treadmill,2018-02-15 21:19:46,4.48,30:59:00,FALSE,FALSE,FALSE,FALSE,FALSE,
132,treadmill_running,treadmill,2018-02-14 20:34:07,4.64,35:11:00,FALSE,FALSE,FALSE,FALSE,FALSE,
133,running,recovery run,2018-02-12 23:11:10,3.48,25:08:00,FALSE,FALSE,FALSE,FALSE,TRUE,recovery
134,running,buriram marathon 2018,2018-02-11 5:26:11,21.29,1:49:10,FALSE,FALSE,FALSE,TRUE,FALSE,race
135,running,interval 300m x 6 rest3min,2018-02-07 23:00:01,5.73,37:25:00,FALSE,FALSE,TRUE,FALSE,FALSE,interval
136,running,earphones testing run,2018-02-05 22:39:57,5.01,28:49:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
137,running,easy running,2018-02-04 17:21:58,6.77,41:42:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
138,running,tempo run,2018-02-04 16:33:41,6.7,40:02:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
139,treadmill_running,treadmill,2018-02-01 20:40:38,4.36,30:37:00,FALSE,FALSE,FALSE,FALSE,FALSE,
140,running,easy run,2018-01-31 17:47:39,5.11,36:41:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
141,running,recovery run,2018-01-29 20:23:31,3.4,25:09:00,FALSE,FALSE,FALSE,FALSE,TRUE,recovery
142,running,khon kaen marathon 2018,2018-01-28 4:16:03,42.68,4:29:26,FALSE,FALSE,FALSE,TRUE,FALSE,race
143,running,easy tempo run2,2018-01-25 17:54:32,9.24,57:24:00,TRUE,TRUE,FALSE,FALSE,FALSE,tempo
144,running,easy tempo run1,2018-01-25 17:06:13,6.7,42:07:00,TRUE,TRUE,FALSE,FALSE,FALSE,tempo
145,running,easy run,2018-01-22 21:38:00,5.39,34:23:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
146,running,bang khen running,2018-01-17 22:20:03,5.09,32:30:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
147,running,long run,2018-01-15 15:42:33,30.04,3:25:28,FALSE,FALSE,FALSE,TRUE,FALSE,long
148,running,tempo run,2018-01-13 17:46:15,10.1,56:19:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
149,running,easy run,2018-01-12 17:31:50,5.02,33:32:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
150,running,bang khen run,2018-01-10 21:39:29,3.03,18:59,FALSE,FALSE,FALSE,FALSE,FALSE,run
151,running,easy run,2018-01-07 21:03:38,5.03,35:16:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
152,running,bang rak running,2018-01-03 17:11:33,5.07,32:53:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
153,running,long running,2017-12-30 17:04:01,15.26,1:29:27,FALSE,FALSE,FALSE,TRUE,FALSE,long
154,running,bad easy running,2017-12-28 15:18:21,11.81,1:12:48,TRUE,FALSE,FALSE,FALSE,FALSE,easy
155,running,easy running,2017-12-27 18:17:07,10.04,1:00:55,TRUE,FALSE,FALSE,FALSE,FALSE,easy
156,running,chiang mai marathon (half),2017-12-24 4:59:52,21.16,1:52:44,FALSE,FALSE,FALSE,TRUE,FALSE,race
157,running,doi suthep running,2017-12-21 8:22:15,10.67,1:17:25,FALSE,FALSE,FALSE,FALSE,FALSE,long
158,running,bang khen running,2017-12-19 20:09:52,5.41,35:09:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
159,running,tempo running,2017-12-18 23:52:52,5.07,25:47:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
160,running,long running,2017-12-17 16:54:52,15.06,1:32:34,FALSE,FALSE,FALSE,TRUE,FALSE,long
161,running,long running,2017-12-16 16:25:43,21.11,2:16:30,FALSE,FALSE,FALSE,TRUE,FALSE,long
162,running,bang khen running,2017-12-13 21:29:38,5.04,32:14:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
163,running,tempo + fartlek run,2017-12-12 17:30:53,10.11,1:00:51,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
164,treadmill_running,30min. easy barefoot treadmill run,2017-12-10 21:00:43,4.16,30:32:00,TRUE,FALSE,FALSE,FALSE,FALSE,easy
165,treadmill_running,1hour easy barefoot treadmill run,2017-12-09 20:25:16,7.85,1:00:30,TRUE,FALSE,FALSE,FALSE,FALSE,easy
166,running,bang khen running,2017-12-07 16:22:58,8.09,57:55:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
167,running,easy run,2017-12-05 17:33:15,10.19,1:11:21,TRUE,FALSE,FALSE,FALSE,FALSE,easy
168,running,recovery run,2017-12-04 19:12:53,5.12,36:41:00,FALSE,FALSE,FALSE,FALSE,TRUE,recovery
169,running,long running,2017-12-03 15:16:50,30.07,3:32:10,FALSE,FALSE,FALSE,TRUE,FALSE,long
170,running,bang khen running,2017-12-02 18:54:31,5.1,33:45:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
171,running,tempo  running,2017-11-29 18:34:19,5.12,27:32:00,FALSE,TRUE,FALSE,FALSE,FALSE,tempo
172,running,3k tempo 3k speed play 3k easy,2017-11-27 17:53:38,10.03,1:02:50,TRUE,TRUE,FALSE,FALSE,FALSE,tempo
173,running,long running,2017-11-26 16:49:51,21.06,2:16:51,FALSE,FALSE,FALSE,TRUE,FALSE,long
174,running,long running,2017-11-23 17:04:37,15.03,1:40:30,FALSE,FALSE,FALSE,TRUE,FALSE,long
